Lab 1. Configuración del Sistema;;;;
Nivel de la insignia;Debloqueada cuando;Notas;
Bronce;Puedes desplegar máquinas virtuales en VirtualBox ;Encender la máquina;
Bronce;Puedes actualizar un sistema Ubuntu ;sudo apt update;
Bronce;Puedes crear un usuario en un sistema Ubuntu y ponerlo en el grupo sudo ;sudo adduser <...> ;sudo usermod -aG sudo <...>;
Bronce;Puedes cambiar una contraseña de usuario ;sudo passwd;
Bronce;Puedes comprobar si una contraseña es segura ;http://www.passwordmeter.com/;
Bronce;Puedes responder a esta pregunta: ¿Cuáles son las ventajas de tener una contraseña fuerte, no predeterminada y no conocida? ;Evitar vulnerabilidades en un sistema o cuenta;
Bronce;Puedes cambiar correctamente entre los usuarios en un sistema Ubuntu ;su - <...>;
Bronce;Puedes instalar un servidor OpenSSH operativo ;sudo apt install openssh-server;
Bronce;Puedes activar el firewall ufw y restringir todos los puertos, excepto el ssh ;sudo ufw allow ssh;sudo ufw enable;
Bronce;Entiendes por qué nmap es mucha mejor forma de localizar hosts “vivos” que ping ;Da más información;
Bronce;Puedes rastrear la ruta de los paquetes enviados a cualquier sistema remoto, e identificar si los nodos por los que viajan están en la red de tu casa o en otras redes (si la red lo permite) ;tcptraceroute;nmap --traceroute <…>;
Plata;Puedes probar si hay una conexión entre el host y la máquina virtual base operativa ;nmap <…>;
Plata;Puedes habilitar y utilizar software de análisis de malware y rootkits ;sudo chkrootkit;sudo rkhunter -c;sudo freshclam;
Plata;Puedes habilitar la actualización de firmas y ejecutar el antivirus ClamAV ;sudo service clamav-freshclam stop;
Plata;Puedes habilitar la última versión de Lynis y evaluar la configuración de seguridad actual de tu sistema base ;lynys audit system;
Plata;Puedes crear informes de seguridad en una máquina Ubuntu con Lynis en HTML ;sudo lynis audit system | ansi2html > report.html;
Plata;Puedes responder a esta pregunta: ¿la puntuación Lynis de la máquina mejora una vez que se instale software de detección de malware y rootkits? ;Sí;
Plata;Debido a la anterior, conoces el procedimiento general para agregar repositorios externos de software a Ubuntu de proveedores externos. ;sudo wget -O - <...> | sudo apt-key add -;sudo apt install <...>;
Plata;Puedes responder a esta pregunta: Según el informe Lynis, ¿crees que una instalación de Ubuntu actualizada base es lo suficientemente segura? ¿por qué? ;No, no es lo bastante segura;
Plata;Puedes realizar un escaneo con ping a un servidor remoto ;ping <...>;
Plata;Puedes analizar un ejecutable con Virustotal e interpretar sus resultados ;https://www.virustotal.com/gui/home/upload;
Plata;Puedes analizar una URL con Virustotal y Google Safe Browsing e interpretar sus resultados ;https://www.virustotal.com/gui/home/url;;https://transparencyreport.google.com/safe-browsing/search;
Oro;Puedes comprobar las vulnerabilidades conocidas de cualquier producto inspeccionando sus CVEs. En particular, puedes hacerlo a partir de la información que un servidor web puede proporcionar sobre los productos software que usa ;F12 > Red > Todos > Seleccionar uno;
Oro;Puedes responder a la siguiente pregunta: ¿qué se debe esperar del estado general de la seguridad de una página web que proporciona tipos de productos y versiones en sus encabezados HTTP? ;Que la seguridad es bastante mala;
Oro;Puede utilizar dig para ver las conversiones de IP <-> DNS y para realizar un seguimiento de la jerarquía DNS de los servidores DNS que se utilizan para resolver un nombre. ;dig <…>;dig +answer -x <…>;dig <…> +trace;
Platino;Puedo hacer esto todo el día: Puedes desplegar una máquina virtual base, evaluar su seguridad y realizar algunas operaciones iniciales relacionadas con la seguridad que te permiten comprender mejor los conceptos de teoría ;Todo completado;
