Lab 2. Descubrimiento de información y OSINT;
Nivel de Insignia;Debloqueada cuando;Notas;
Bronce;Puedes encontrar y analizar cualquier archivo robots.txt ;<url>/robots.txt;
Bronce;Responde a esta pregunta: ¿Cuáles crees que serán los problemas de seguridad que un robots.txt mal escrito podría provocar? ;Dar información comprometida sobre el estado de la web;
Bronce;Puedes analizar los metadatos de cualquier archivo individual de un tipo adecuado que encuentres. Puedes responder a esta pregunta: ¿Por qué los metadatos pueden ser una amenaza para la seguridad? ;exiftool -a -u -g1 <…>;Porque pueden tener información importante y oculta a simple vista, pero a la que se puede acceder con habilidad;
Bronce;Puedes analizar una única URL o IP utilizando Shodan e interpretar los resultados. También puedes responder a esta pregunta: ¿qué parte de los resultados enlaza con algo que vimos en el laboratorio anterior, y puede indicar un problema grave con la página web? ;https://www.shodan.io/;Se pueden ver los puertos abiertos;
Bronce;Puedes buscar todas las direcciones URL históricas de un dominio. ;http://web.archive.org/web/*/<…>/*;
Bronce;Puedes responder a esta pregunta: ¿qué problemas de seguridad pueden aparecer si tenemos un archivo histórico de los diferentes contenidos de un archivo robots.txt?  ;Que podemos ver las urls en las que en un momento los rastreadores web no pudieron acceder;
Bronce;Puedes responder a esta pregunta: ¿por qué los subdominios son interesantes desde el punto de vista de la seguridad? ¿Qué podría suceder si un subdominio (y su contenido) ha sido olvidado durante mucho tiempo?;Porque suponen más vectores de enumeración;Puede causar que se descubra más información sobre un objetivo al que se tiene planeado atacar;
Bronce;Puedes analizar cómo un sitio web recopila datos de usuario y trata la privacidad mediante Blacklight. ;https://themarkup.org/blacklight;
Bronce;Puedes comprobar si una contraseña ha sido potencialmente comprometida en una fuga de datos y responder a esta pregunta: ¿qué debes hacer si encuentras tu email en una de estas intrusiones documentadas?  ;https://haveibeenpwned.com/;
Plata;Puedes utilizar Censys para analizar los hosts de una red e interpretar los resultados, tanto de una red como de cualquier host individual. También puedes responder a esta pregunta: ¿puedes encontrar los servicios que se ejecutan en los hosts? ¿Cómo puedes encontrar si algunos son vulnerables? ;Buscar un dominio o su IP;Con esta información puede buscarse vulnerabilidades, además muestra los puertos abiertos;
Plata;Sabes cómo utilizar la base de datos de Google Hacking contra un objetivo concreto. ;Utilizar el operador site:;
Plata;Responde a esta pregunta: ¿Qué tipo de problema de seguridad crees que encontrar contenido que estaba alojado en el pasado podría suponer en un sitio web? ;Tener acceso a datos importantes, como el fichero robots.txt;
Plata;Puedes localizar subdominios de cualquier dominio mediante una de las herramientas proporcionadas y analizar la información del dominio que muestran. ;knockpy <…>;dnsenum <...>;https://dnsdumpster.com/;https://searchdns.netcraft.com/;https://www.virustotal.com/gui/home/upload;https://crt.sh/;
Plata;Puedes localizar las redes IP de cualquier dominio .com o .es;https://whois.arin.net/ui/;https://www.dominios.es/es;
Plata;Puede localizar servicios activos en rangos de redes públicas utilizando zmap ;sudo zmap -p80 <…>;
Plata;Puedes localizar hosts activos en redes LAN;nmap -sn <…>;nmap -PS<...> <…>;
Plata;Puedes configurar un entorno de navegación privado y seguro ;Instalar extensiones, como UBlockOrigin, NoScript o Privacy Badger;
Plata;Puedes geolocalizar una IP (y, en particular, el remitente de un correo electrónico). Puedes responder a esta pregunta: después de ver la precisión de la ubicación IP que tiene, ¿cuál es, en tu opinión, la utilidad de la geolocalización IP? ;https://www.iplocation.net/;Para detectar si la dirección de correo es legítima o somos objetivo de un ataque;
Oro;Puedes responder a esta pregunta: ¿Qué sucede si en lugar de un correo electrónico tuyo, decides investigar correos electrónicos de otras personas? ¿Qué sucede si el correo electrónico se notifica como comprometido? ;Puedes encontrar la contraseña asociada a la cuenta en algun archivo de passwords, lo que lo convierte en una vulnerabilidad;
Oro;Puedes responder a esta pregunta: Si soy capaz de encontrar cualquier imagen o documento que está (o estaba) en cualquier sitio web, ¿qué podemos hacer con estos archivos que pueda revelarme más información? ¿Qué sucede si puedo encontrar el historial de versiones de cualquiera de estos archivos? ¿Qué tipo de información puede proporcionar? ;Podemos leer los metadatos y obtener información acerca del creador;
Oro;Puedes responder a esta pregunta: Si soy capaz de encontrar cualquier versión de cualquier página web de que una vez fue parte de un sitio web, ¿qué podemos hacer con estos archivos que pueda revelarme más información? ¿Crees que esto podría permitir localizar posibles vulnerabilidades? ;Podemos acceder a cualquier versión de la web, pudiendo obtener datos que estuvieron disponibles, como el archivo robots.txt;
Oro;Puedes responder a esta pregunta: Imagina que por error dejo en una página web un comentario comprometedor (por ejemplo, indicando un nombre de producto y / o versión, parte del código de servidor en un comentario ...). ¿Qué debemos hacer para eliminar realmente el problema de seguridad que esto podría suponer? ;Debería borrarse ese dato comprometedor de todas las versiones de la web;
Oro;"Puedes responder a esta pregunta: Es un hecho que los escaneos UDP son muy lentos, especialmente en WAN / Internet. También se sabe que nmap generalmente escanea por defecto sólo los puertos más utilizados en todo el mundo (una lista finita de puertos conocidos). Sabiendo esto, si quieres crear un servicio UDP ""oculto"" que sea muy difícil de localizar, ¿qué harías? ";Establecer un servicio UDP fuera de los rangos comunes, causando que requiera mucho tiempo escanearlo;
Platino;He visto cosas que no creerías: Conoces múltiples técnicas de enumeración y OSINT para extraer mucha información sobre máquinas, empresas y personas que puedes utilizar para investigarlas.  ;Todo completado;
