Nivel de Insignia;Desbloqueada cuando;Notas;
Bronce;Puedes utilizar los perfiles de seguridad disponibles de OpenSCAP para cualquier producto soportado;sudo oscap info <filename>;
Bronce;Puedes cargar un perfil de seguridad adecuado para un sistema operativo soportado;Tras obtener el id con info, se escribe sudo oscap xccdf eval --profile <profile id> --results report.xml --report report.html <file with the profiles>;
Bronce;Puedes utilizar OpenSCAP para intentar solucionar automáticamente posibles problemas en la aplicación de los controles de seguridad. Puedes responder a esta pregunta. Incluso si no mejora significativamente el índice de seguridad de una máquina recién instalada, ¿qué crees que sucederá con una máquina que no se ha mantenido o administrado correctamente?;Si, añadiendo la opción --remediate al comando anterior;Que mejorará notablemente los fallos que haya encontrado (aunque no en su totalidad);
Bronce;Puedes utilizar los archivos de perfil de seguridad de OpenSCAP;Si, usando la GUI o los comandos anteriores;
Bronce;"Puede responder a las siguientes preguntas: ¿Qué sucede si un control de seguridad aparece en un informe como ""no aplicable""? ¿Cuáles son las posibles razones? ¿Sigue siendo útil este control de seguridad para mejorar la seguridad del sistema?";OSCAP puede no ser capaz de aplicarlo;Porque no tiene el código para hacerlo o porque forma parte del software necesario no instalado;Si, sigue siendo util;
Plata;Puedes realizar un análisis automatizado de un sistema operativo para detectar vulnerabilidades de acuerdo con un determinado perfil de seguridad.;Si, vía OpenSCAP, seleccionando el perfil y presionando Scan;
Plata;Puedes utilizar oscap desde la línea de comandos para analizar y corregir los controles de seguridad;sudo oscap xccdf eval --remediate --profile <profile id> --results report.xml --report report.html <file with the profiles>;
Plata;Puedes responder a la siguiente pregunta: ¿El Ubuntu 18.04 STIG incluye perfiles correspondientes a todas las combinaciones posibles de MAC y niveles de confidencialidad que revisamos en teoría?;Si, tiene los 3 niveles MAX y los 3 niveles de confidencialidad;
Plata;Puedes responder a las siguientes preguntas: ¿Es el Ubuntu 18.04 STIG utilizable con OpenSCAP para automatizar la verificación / corrección de controles de seguridad? Si su respuesta es no, ¿qué puedes hacer con la información que proporciona?;No;Arreglar manualmente los errores que nos menciona el informe;
Plata;Puedes utilizar los scripts de corrección bash de cualquier directiva de seguridad SCAP. ;Si, accediendo a los scripts, haciendo que sean ejecutables, mediante la orden chmod o+rx <script> y ejecutandolos ./<script>;
Plata;Puedes utilizar los scripts de corrección de Ansible de cualquier directiva de seguridad SCAP.;Si, tras instalar Ansible, ir al archivo ansible que viene con los perfiles de seguridad, y acceder al .yml asociado con el perfil de seguridad estándar que se va a ejecutar, cambiando hosts: all por hosts: localhost, finalmente ejecutar el comando sudo ansible-playbook <yml file>;
Plata;Puede ejecutar un procedimiento de corrección de los STIGs con la herramienta Ansible;Obtener los perfiles correspondientes y seguir el mismo proceso que en el caso anterior;
Oro;Puedes analizar y comprender el contenido de un informe oscap;"Si, el siguiente: • El origen del perfil de seguridad y la descripción inicial. • Los resultados: número de reglas pasadas, reglas que el sistema no cumple y en otras situaciones • La distribución de gravedad de las reglas que el sistema no cumple • La puntuación de seguridad del sistema según la política de seguridad usada • La lista de controles de seguridad clasificada y su estado actual de controles pasados y no pasados • La descripción detallada de cada control de seguridad (Descripción, Justificación, Gravedad...)";
Oro;Comprendes las ventajas y desventajas de las herramientas de Compliance as Code y cómo las altas puntuaciones de seguridad pueden tener efectos secundarios que puede impedir que las máquinas funcionen correctamente y requieran intervención manual;Si, por mejorar la seguridad pueden perderse herramientas útiles para el usuario;
Oro;Puedes responder a esta pregunta: ¿qué método automatizado tiene mejores resultados de corrección en el perfil CIS de Ubuntu: corrección de Oscap, corrección de script bash o corrección de Ansible? ¿La mejora de la seguridad es significativa a partir de un sistema recién instalado?;Ansible, logro aumentar hasta el 65;Si, es significativa, tras aplicar todos los métodos se pasó de un 0 a un 65;
Oro;Puedes ejecutar y aplicar el script Ansible de hardening automatizado de florianutz basado en CIS, evaluando luego el aumento en el índice de hardening general del sistema.;Si, primero se crea el yml que tenga un atributo src que apunte al repositorio, tras esto, se instala la política usando sudo ansible-galaxy install -p roles -r requirements.yml (requirements es el fichero creado anteriormente), y tras ello, accedemos al fichero server.yml, donde se sustituye el valor de host a localhosts, posteriormente se ejecuta el comando sudo ansible-playbook server.yml y a esperar;
Oro;Puedes ejecutar y aplicar el script Ansible de hardening automatizado egida basado en CIS, evaluando luego el aumento en el índice de hardening general del sistema.;Primero se instala ansible: sudo apt update, sudo apt install software-properties-common, sudo apt-add-repository --yes --update, ppa:ansible/ansible sudo apt install ansible, tras esto, se instala python: sudo apt update, sudo apt install software-properties-common, sudo add-apt-repository ppa:deadsnakes/ppa, sudo apt install python3.7, sudo apt install python3-pip, y por ultimo, instalamos Egida: Wget https://github.com/antonioalfa22/egida/releases/download/2.0.0/install.sh sudo chmod +x install.sh sudo ./install.sh, y finalmente se ejecuta sudo egida menu -c local;
Platino;This is the way: Tu dominio de los procedimientos de hardening automatizado te permite mejorar la seguridad de un sistema Ubuntu de acuerdo con varias políticas de seguridad que garantizan diferentes niveles de esta. Además, puedes evaluar automáticamente la seguridad de cualquier sistema Ubuntu.  Con esto, estás preparado para usar los mismos procedimientos en cualquier otro sistema que admita la misma clase de automatización.;Todo completado;
